24,24,40,23,31,35,34,28,0,38,29,34,35,24,30,31
31,32,53,27,32,39,34,19,0,47,39,35,32,28,31,21
29,29,49,26,35,40,36,30,0,38,36,35,37,27,32,29
30,32,55,27,31,43,35,26,0,45,35,40,34,26,32,30
27,32,51,29,33,40,35,27,0,40,37,38,38,26,35,26
28,30,54,26,34,42,36,28,0,42,37,36,35,27,34,30
30,34,52,29,35,43,35,28,0,41,40,40,35,28,31,28
29,33,52,29,37,42,39,25,0,40,38,36,37,28,30,28
26,31,54,28,36,44,39,26,0,45,39,39,38,29,30,27
30,34,53,30,34,41,36,25,0,44,39,39,37,25,30,26
28,33,56,29,35,45,37,26,0,43,38,40,33,26,35,29
27,32,56,29,36,41,37,26,0,43,40,38,36,25,32,30
29,33,54,29,36,41,36,27,0,45,40,40,38,31,32,31
31,34,53,29,35,40,38,26,0,40,38,37,34,26,29,30
29,33,53,28,35,43,38,28,0,45,37,41,35,27,30,29
29,34,56,32,35,43,37,25,0,48,38,40,36,25,34,28
29,33,51,29,36,42,38,29,0,42,38,42,36,25,31,30
32,34,55,30,35,45,38,27,0,45,40,39,36,27,32,31
30,35,53,31,36,43,37,28,0,44,38,40,36,25,33,27
31,34,58,29,37,45,39,30,0,47,36,40,32,25,31,27
30,35,55,30,34,43,36,24,0,45,36,39,37,25,32,29
31,33,55,29,33,42,39,27,0,43,37,40,35,26,33,30
30,34,53,31,38,44,36,29,0,42,39,39,37,29,32,28
31,35,58,30,35,43,38,28,0,42,37,38,36,28,34,29
27,34,58,30,36,43,36,26,0,45,38,39,37,26,35,27
33,32,56,30,33,46,36,30,0,41,38,35,37,28,35,30
31,36,57,30,34,44,37,28,0,47,39,39,41,26,33,28
29,35,57,29,36,41,38,28,0,43,38,40,37,27,30,30
30,35,57,30,36,44,37,24,0,43,36,36,36,25,32,32
26,35,56,30,37,45,40,31,0,43,37,40,33,25,34,31
29,36,57,32,35,44,37,26,0,44,38,41,34,26,35,29
28,34,58,31,35,45,40,28,0,47,38,38,36,26,32,29
31,35,56,28,35,46,37,23,0,41,39,37,37,29,32,29
30,36,58,29,36,43,39,28,0,41,41,41,36,27,34,30
31,35,56,31,36,43,38,28,0,45,39,39,38,28,32,32
31,36,57,30,37,45,36,28,0,43,38,40,34,26,31,26
29,36,57,30,36,44,38,25,0,48,41,40,34,24,34,32
30,33,58,30,38,43,37,27,0,45,38,41,40,28,30,28
30,36,60,30,36,44,37,29,0,46,38,36,36,27,33,29
29,35,60,32,39,42,38,28,0,44,36,39,36,29,32,31
32,36,59,31,34,43,42,29,0,42,38,40,37,28,35,28
31,36,60,29,39,45,38,29,0,43,39,42,38,26,35,30
30,36,58,30,36,44,39,30,0,48,38,41,38,26,31,30
29,36,58,32,35,47,39,31,0,46,43,38,39,26,35,31
31,36,59,32,37,43,39,27,0,48,38,41,38,28,36,30
31,37,59,31,35,47,37,30,0,43,37,40,37,27,34,31
29,36,61,33,38,45,40,28,0,46,39,41,38,26,33,28
31,35,61,31,36,45,38,29,0,50,42,40,39,28,32,30
33,37,61,31,38,47,39,28,0,47,41,40,34,26,34,29
30,37,60,33,42,46,38,28,0,46,39,35,38,29,33,28
30,38,61,33,38,45,41,30,0,48,38,43,40,25,33,28
33,37,60,30,37,46,40,28,0,48,41,40,39,29,30,31
31,37,61,35,39,47,39,33,0,48,38,40,39,27,34,29
29,37,61,32,41,48,40,27,0,48,40,40,36,28,34,32
32,38,60,34,38,49,42,29,0,47,39,42,41,28,35,26
31,38,61,35,39,48,39,31,0,51,39,38,37,29,34,28
30,36,63,33,40,49,41,30,0,51,43,38,38,30,34,29
31,38,62,31,38,49,39,30,0,49,41,41,39,28,33,30
29,37,64,32,38,49,41,33,0,47,41,41,39,28,36,30
31,39,62,34,38,51,41,29,0,49,41,41,41,26,35,29
29,37,62,33,38,51,41,31,0,49,39,41,39,28,35,32
32,38,64,32,40,50,43,33,0,51,41,41,37,29,36,31
30,37,64,34,40,47,43,33,0,47,41,45,39,28,37,29
31,39,65,35,40,51,42,31,0,49,39,42,37,28,36,30
30,40,65,35,42,51,45,30,0,53,39,46,38,27,35,30
32,39,65,35,40,50,41,32,0,51,40,41,39,28,36,33
30,40,67,37,43,51,42,29,0,53,41,42,41,28,35,29
30,40,64,39,42,51,42,33,0,50,39,41,40,27,39,31
32,41,66,36,43,49,43,34,0,53,42,41,41,27,33,33
31,39,65,37,43,52,41,35,0,53,42,44,41,28,37,28
30,39,63,36,44,50,40,31,0,52,42,43,40,31,40,30
30,41,65,38,38,53,46,32,0,52,0,45,44,29,36,30
31,41,65,37,44,49,43,34,0,57,0,46,40,27,36,31
29,40,66,37,42,50,45,33,0,54,0,45,43,30,37,33
30,42,65,37,42,51,47,32,0,58,0,46,41,27,40,30
31,41,66,36,42,53,45,32,0,55,21,44,42,30,39,31
30,40,66,40,41,50,46,34,0,55,0,47,45,29,35,29
32,41,66,39,45,54,45,35,0,55,0,46,47,30,37,34
31,41,69,38,44,54,48,32,0,57,0,45,43,31,40,36
30,41,64,39,41,53,46,33,0,59,0,47,45,29,36,32
31,40,66,40,43,54,51,32,0,63,0,47,45,32,43,31
31,41,64,40,43,54,46,33,0,58,0,48,47,29,41,30
27,41,65,40,45,53,46,31,0,59,0,47,47,30,40,32
30,41,65,41,45,55,46,32,0,56,0,46,46,31,41,29
30,39,65,41,44,54,49,30,0,61,0,45,46,28,39,30
29,38,65,42,43,57,46,33,0,61,0,47,48,30,39,31
29,39,60,41,45,57,47,32,0,59,0,43,46,30,41,30
31,39,61,41,45,55,47,33,0,61,0,47,48,28,43,33
31,40,61,44,45,56,46,33,0,60,0,47,46,30,42,33
30,40,63,43,43,57,51,34,0,60,0,47,45,30,45,31
30,38,65,45,47,56,51,33,0,61,0,48,48,31,43,31
29,40,63,45,47,56,47,32,0,59,0,49,49,30,42,32
26,41,60,42,47,58,49,33,0,59,0,48,48,29,44,33
28,39,58,45,48,59,49,35,0,62,0,48,46,33,43,28
28,39,59,45,45,55,49,39,0,62,0,47,50,31,41,34
28,37,57,45,48,52,47,34,0,60,0,49,49,33,44,31
28,37,54,44,45,55,45,33,0,60,0,46,46,31,42,30
28,36,54,45,46,60,47,34,0,59,0,46,48,34,42,32
